Test Lead,Initiative,Bug id,Bug Title,PDD,Severity,Node Name,Created Date,UAT category,Analysis Comments (select from drop down),Detailed PT comments
Himanshu,Advisory SA - SONG,4439137,28 March | UAT 2 | Requestor Name not coming in SA Assignment email.,3/28/2026 0:00,Medium,Pacemakers,3/23/2026,Broken functionality,,env issue
Kavi,Advisory SA - SONG,4439592,28 March | PT/ UAT 2 | Regression | Solution Component | View One Click Pricing is not available in One Click Pricing.,3/28/2026 0:00,Medium,Insurgents,3/24/2026,Broken functionality,Duplicate of PT bug,Duplicate bug
Surbhi,Advisory SA - SONG,4444939,28 March | UAT 2 | Regression | Solution Component | For Advisory SA - Song roles is able to edit the screen which is not expected.,3/28/2026 0:00,High,Simba,3/26/2026,Broken functionality,,
Pirtheebaa,Advisory SA - SONG,4436696,28 Mar | UAT 2 | Advisory SA Song | Opportunity Workflow | Define Team | SME Request Charter stepper should be enabled,3/28/2026 0:00,Medium,TechPhantoms,3/19/2026,Bug leakage,,
Anand,AEP,4438649,"28th March | UAT2 | SI AEP | Getting ""MRDR/MRDB validation failed. Please correct the data highlighted in red"" in Staffing Baseline and Profile screen for AEP version",3/28/2026 0:00,Medium,DevStormers,3/23/2026,Broken functionality,,
Anand,AEP,4444390,28th March | UAT2 | SI AEP | Profiles are not flowing for AEP Versions,3/28/2026 0:00,Medium,DevStormers,3/26/2026,Broken functionality,,
Anand,AEP,4430394,28th March | UAT2 | SI AEP | Not able to add named resources at AEP site,3/28/2026 0:00,Medium,DevStormers,3/17/2026,Bug leakage,,
Jaya,AMS ADL,4394736,28th March | UAT2 Sanity | AMS | ADL is giving validation error for Subk staffing records even though details are configured,3/28/2026 0:00,High,TechCoders,2/27/2026,Both,,
Jaya,AMS DCTA,4446898,Mar 28 | Prod Sanity | AMS DCTA | Validation Error occurs in the Labor API when triggering Request Pricing,3/28/2026 13:06,Critical,TechCoders,3/28/2026,Broken functionality,,
Jaya,AMS R2 screen,4424770,Regression : 28th March | UAT2 | AMS - Staffing | LCR values are not getting retained for Subk records after save,3/28/2026 0:00,High,TechCoders,3/13/2026,Both,,
Jaya,AMS R2 screen,4425241,28th March | UAT2 | AMS - Staffing LBS | Exported file Shows Duplicate Records.,3/28/2026 0:00,Medium,TechCoders,3/13/2026,Broken functionality,,
Jaya,AMS R2 screen,4427230,Regression: 28th March | UAT2 | AMS Staffing | Unable to apply Skill Inventory to groups on the Staffing screen.,3/28/2026 0:00,High,TechCoders,3/16/2026,Broken functionality,,
Pirtheebaa,AMS R2 screen,4427559,28thMarch || UAT || AMS || Available hours- Export is in non- editable mode,3/28/2026 0:00,High,TechCoders,3/16/2026,Broken functionality,,
Jaya,AMS R2 screen,4427711,"28th March | UAT2 | Import is getting failed, even without updating the OU file and generating ADL.",3/28/2026 0:00,Medium,TechCoders,3/16/2026,Bug leakage,,
Jaya,AMS R2 screen,4432426,28th March | UAT2 | AMS - Staffing LBS | Staffing FTE Updates Showing only M1 for Some Groups for a 3-Year Deal.,3/28/2026 0:00,High,TechCoders,3/17/2026,Broken functionality,,
Jaya,AMS R2 screen,4436907,28th March | UAT2 | AMS | Staffing import from Cross version is failing even though same profiles are mapped to groups and have same capability and skills in target version,3/28/2026 0:00,High,TechCoders,3/19/2026,Both,,
Pirtheebaa,AMS R2 screen,4437903,"March 28 | UAT 2 | Review Approvals| Reporting & Compliance | In Generative AI tab, AM/AD Assessment taken but still Gene AI Tracking Status displayed as Not Applicable which is not expected.",3/28/2026 0:00,Medium,CodeCrafters,3/20/2026,Bug leakage,,
Jaya,AMS R2 screen,4439618,Regression : 28th Mar | UAT2 | AMS | Pricing input screen data is not loading,3/28/2026 0:00,High,TechCoders,3/24/2026,Broken functionality,,
Pirtheebaa,AMS R2 screen,4440906,"Regression | UAT2 | AMS - R2 screens | Version number, version name text is getting vanished after navigating from one screen to other screen",3/28/2026 0:00,High,MYISP_Revamp_UI,3/24/2026,Both,,
